title,original_language,release_date,popularity,vote_count,vote_average,budget,genre_names,collection_name,year_release
Target,id,2018-06-15,3.387,23,4.1,0.0,Action,,2018
The Orphan Killer,en,2011-11-01,3.386,22,4.0,0.0,Thriller,,2011
Samurai Reincarnation,ja,1981-06-06,3.386,23,5.8,0.0,Action,,1981
Terrornet,en,2022-09-26,3.386,4,6.0,0.0,Comedy,,2022
Impulse,en,1984-09-28,3.385,33,5.0,0.0,Mystery,,1984
Meatball Machine,ja,2005-01-01,3.385,54,5.4,0.0,Action,Meatball Machine Collection,2005
The Jungle,en,2013-06-30,3.385,17,3.9,0.0,Thriller,,2013
Blood Bath,en,1966-03-02,3.384,20,5.6,0.0,Horror,,1966
Mark Of The Witch,en,2014-05-17,3.384,20,3.1,0.0,Fantasy,,2014
Sijjin,tr,2014-09-26,3.384,52,6.2,0.0,Horror,Sijjin Collection,2014
Red Canyon,en,2008-01-01,3.383,13,3.7,1500000.0,Action,,2008
Werewolves in Heat,en,2015-12-08,3.382,0,0.0,0.0,Comedy,,2015
Dawn of the Beast,en,2021-04-06,3.382,42,6.5,0.0,Thriller,,2021
Furnace,en,2007-12-11,3.381,20,3.4,0.0,Crime,,2007
Inner Senses,cn,2002-12-31,3.381,22,5.7,4000000.0,Crime,,2002
